Comparison						
						
With C.diff Invasion				Without (only first 13 timepoints)		
Parabacteroides-distasonis	Akkermansia-muciniphila	-6.87E-09		Bacteroides-vulgatus	Ruminococcus-obeum	7.43E-09
Parabacteroides-distasonis	Parabacteroides-distasonis	-1.79E-05		Bacteroides-vulgatus	Clostridium-ramosum	2.30E-05
Parabacteroides-distasonis	Bacteroides-fragilis	-5.66E-09		Bacteroides-vulgatus	Bacteroides-ovatus	0
Parabacteroides-distasonis	Bacteroides-vulgatus	-5.60E-07		Bacteroides-vulgatus	Akkermansia-muciniphila	1.98E-09
Parabacteroides-distasonis	Klebsiella-oxytoca	5.54E-05		Bacteroides-vulgatus	Parabacteroides-distasonis	9.05E-10
Parabacteroides-distasonis	Roseburia-hominis	-6.20E-09		Bacteroides-vulgatus	Bacteroides-fragilis	-8.70E-07
Parabacteroides-distasonis	Escherichia-coli	-2.45E-09		Bacteroides-vulgatus	Bacteroides-vulgatus	-3.38E-05
Bacteroides-fragilis	Clostridium-hiranonis	0.00010871		Bacteroides-vulgatus	Klebsiella-oxytoca	-9.28E-08
Bacteroides-fragilis	Proteus-mirabilis	1.41E-09		Bacteroides-vulgatus	Roseburia-hominis	0
Bacteroides-fragilis	Clostridium-scindens	-1.96E-10		Bacteroides-vulgatus	Escherichia-coli	-3.41E-09
Bacteroides-fragilis	Ruminococcus-obeum	2.46E-07		Klebsiella-oxytoca	Clostridium-hiranonis	-6.00E-06
Bacteroides-fragilis	Clostridium-ramosum	1.04E-09		Klebsiella-oxytoca	Clostridium-scindens	-5.54E-10
Bacteroides-fragilis	Bacteroides-ovatus	-2.79E-10		Klebsiella-oxytoca	Ruminococcus-obeum	4.90E-06
Bacteroides-fragilis	Akkermansia-muciniphila	1.04E-10		Klebsiella-oxytoca	Clostridium-ramosum	1.01E-08
Bacteroides-fragilis	Parabacteroides-distasonis	2.67E-10		Klebsiella-oxytoca	Bacteroides-ovatus	2.92E-05
Bacteroides-fragilis	Bacteroides-fragilis	-2.56E-06		Klebsiella-oxytoca	Akkermansia-muciniphila	0.00012701
Bacteroides-fragilis	Bacteroides-vulgatus	9.43E-07		Klebsiella-oxytoca	Parabacteroides-distasonis	0.0001055
Bacteroides-fragilis	Klebsiella-oxytoca	4.71E-06		Klebsiella-oxytoca	Bacteroides-fragilis	-3.57E-09
Bacteroides-fragilis	Roseburia-hominis	2.57E-11		Klebsiella-oxytoca	Bacteroides-vulgatus	6.06E-10
Bacteroides-fragilis	Escherichia-coli	0		Klebsiella-oxytoca	Klebsiella-oxytoca	-3.43E-05
Bacteroides-vulgatus	Clostridium-hiranonis	2.41E-05		Klebsiella-oxytoca	Roseburia-hominis	-2.08E-09
Bacteroides-vulgatus	Proteus-mirabilis	1.16E-06		Klebsiella-oxytoca	Escherichia-coli	-3.52E-11
Bacteroides-vulgatus	Clostridium-scindens	8.56E-07		Roseburia-hominis	Clostridium-hiranonis	-1.05E-05
Bacteroides-vulgatus	Ruminococcus-obeum	1.36E-05		Roseburia-hominis	Clostridium-scindens	2.14E-07
Bacteroides-vulgatus	Clostridium-ramosum	1.15E-10		Roseburia-hominis	Ruminococcus-obeum	-2.10E-10
Bacteroides-vulgatus	Bacteroides-ovatus	3.36E-07		Roseburia-hominis	Clostridium-ramosum	-3.78E-08
Bacteroides-vulgatus	Akkermansia-muciniphila	1.37E-07		Roseburia-hominis	Bacteroides-ovatus	0
Bacteroides-vulgatus	Parabacteroides-distasonis	3.52E-08		Roseburia-hominis	Akkermansia-muciniphila	-1.34E-09
Bacteroides-vulgatus	Bacteroides-fragilis	-1.61E-07		Roseburia-hominis	Parabacteroides-distasonis	-1.64E-09
Bacteroides-vulgatus	Bacteroides-vulgatus	-8.45E-06		Roseburia-hominis	Bacteroides-fragilis	-1.28E-10
Bacteroides-vulgatus	Klebsiella-oxytoca	0		Roseburia-hominis	Bacteroides-vulgatus	1.15E-08
Bacteroides-vulgatus	Roseburia-hominis	1.77E-07		Roseburia-hominis	Klebsiella-oxytoca	6.35E-07
Bacteroides-vulgatus	Escherichia-coli	-1.35E-05		Roseburia-hominis	Roseburia-hominis	-9.20E-05
Klebsiella-oxytoca	Clostridium-hiranonis	3.37E-05		Roseburia-hominis	Escherichia-coli	2.74E-07
Klebsiella-oxytoca	Proteus-mirabilis	2.75E-08		Escherichia-coli	Clostridium-hiranonis	-7.17E-05
Klebsiella-oxytoca	Clostridium-scindens	5.70E-06		Escherichia-coli	Clostridium-scindens	7.29E-09
Klebsiella-oxytoca	Ruminococcus-obeum	6.95E-05		Escherichia-coli	Ruminococcus-obeum	2.33E-09
Klebsiella-oxytoca	Clostridium-ramosum	1.38E-08		Escherichia-coli	Clostridium-ramosum	4.58E-09
Klebsiella-oxytoca	Bacteroides-ovatus	2.17E-06		Escherichia-coli	Bacteroides-ovatus	0
Klebsiella-oxytoca	Akkermansia-muciniphila	6.81E-05		Escherichia-coli	Akkermansia-muciniphila	1.48E-09
Klebsiella-oxytoca	Parabacteroides-distasonis	2.22E-05		Escherichia-coli	Parabacteroides-distasonis	-8.22E-10
Klebsiella-oxytoca	Bacteroides-fragilis	-1.87E-10		Escherichia-coli	Bacteroides-fragilis	-8.06E-10
Klebsiella-oxytoca	Bacteroides-vulgatus	1.03E-07		Escherichia-coli	Bacteroides-vulgatus	7.35E-08
Klebsiella-oxytoca	Klebsiella-oxytoca	-2.63E-05		Escherichia-coli	Klebsiella-oxytoca	0.00017043
Klebsiella-oxytoca	Roseburia-hominis	2.46E-08		Escherichia-coli	Roseburia-hominis	-1.48E-09
Klebsiella-oxytoca	Escherichia-coli	3.76E-08		Escherichia-coli	Escherichia-coli	-9.10E-06
Roseburia-hominis	Clostridium-hiranonis	2.23E-08				
Roseburia-hominis	Proteus-mirabilis	1.07E-07				
Roseburia-hominis	Clostridium-scindens	-3.74E-09				
Roseburia-hominis	Ruminococcus-obeum	-8.80E-08				
Roseburia-hominis	Clostridium-ramosum	-4.21E-06				
Roseburia-hominis	Bacteroides-ovatus	-1.01E-07				
Roseburia-hominis	Akkermansia-muciniphila	-3.64E-09				
Roseburia-hominis	Parabacteroides-distasonis	-1.15E-08				
Roseburia-hominis	Bacteroides-fragilis	-1.51E-07				
Roseburia-hominis	Bacteroides-vulgatus	-2.27E-06				
Roseburia-hominis	Klebsiella-oxytoca	1.38E-05				
Roseburia-hominis	Roseburia-hominis	-3.96E-05				
Roseburia-hominis	Escherichia-coli	-2.08E-08				
Escherichia-coli	Clostridium-hiranonis	-0.00020584				
Escherichia-coli	Proteus-mirabilis	-1.76E-06				
Escherichia-coli	Clostridium-scindens	2.28E-09				
Escherichia-coli	Ruminococcus-obeum	-2.28E-08				
Escherichia-coli	Clostridium-ramosum	1.86E-08				
Escherichia-coli	Bacteroides-ovatus	-9.90E-09				
Escherichia-coli	Akkermansia-muciniphila	-2.74E-08				
Escherichia-coli	Parabacteroides-distasonis	-2.64E-07				
Escherichia-coli	Bacteroides-fragilis	0				
Escherichia-coli	Bacteroides-vulgatus	2.71E-05				
Escherichia-coli	Klebsiella-oxytoca	0.00011199				
Escherichia-coli	Roseburia-hominis	-1.72E-08				
Escherichia-coli	Escherichia-coli	-2.56E-06				
